iso_calendar_week,party,count
49,Non Partisan,1779
14,Republican,1487
16,Republican,2071
7,Republican,1206
16,Non Partisan,2598
39,Republican,1846
29,Republican,1364
6,Republican,1154
40,Non Partisan,2796
52,Democrat,773
28,Democrat,1458
41,Republican,3281
13,Democrat,1916
16,Democrat,2765
21,Non Partisan,1686
51,Non Partisan,1667
23,Republican,1067
8,Non Partisan,1386
22,Non Partisan,1162
7,Non Partisan,1548
47,Democrat,1341
47,Non Partisan,1530
31,Democrat,1739
3,Democrat,1396
40,Democrat,2582
32,Non Partisan,1739
43,Democrat,1314
11,Non Partisan,2008
37,Republican,1923
40,Republican,2646
8,Republican,997
19,Non Partisan,1135
3,Non Partisan,1480
34,Democrat,1352
51,Democrat,1321
22,Democrat,1100
15,Non Partisan,2166
48,Democrat,1381
6,Non Partisan,1520
49,Democrat,1520
45,Democrat,1298
32,Republican,1517
3,Republican,1166
49,Republican,1475
24,Democrat,1381
36,Democrat,1503
18,Democrat,914
39,Non Partisan,1946
7,Democrat,1491
13,Republican,1548
41,Non Partisan,3266
37,Democrat,1973
17,Democrat,1562
12,Democrat,2024
50,Non Partisan,1530
42,Republican,3470
17,Non Partisan,1638
12,Republican,1645
15,Democrat,2266
37,Non Partisan,2144
14,Democrat,1855
12,Non Partisan,2137
30,Democrat,1559
53,Democrat,378
26,Democrat,1420
46,Democrat,1449
41,Democrat,3341
5,Republican,1047
52,Republican,863
11,Democrat,1983
39,Democrat,1943
2,Republican,1013
30,Non Partisan,1719
10,Republican,1346
8,Democrat,1296
28,Republican,1298
17,Republican,1265
26,Non Partisan,1672
35,Republican,1634
38,Democrat,1938
18,Republican,775
9,Republican,1330
27,Non Partisan,1228
42,Non Partisan,3515
18,Non Partisan,987
29,Non Partisan,1620
22,Republican,921
43,Republican,1194
14,Non Partisan,1875
11,Republican,1502
36,Republican,1537
15,Republican,1661
9,Non Partisan,1815
51,Republican,1229
28,Non Partisan,1583
21,Republican,1312
19,Democrat,1056
13,Non Partisan,2002
46,Republican,1455
30,Republican,1505
42,Democrat,3554
25,Non Partisan,1145
31,Republican,1584
23,Democrat,1241
47,Republican,1407
26,Republican,1431
20,Republican,1145
4,Non Partisan,1139
45,Republican,1194
5,Non Partisan,1365
1,Republican,914
27,Democrat,1119
23,Non Partisan,1428
33,Non Partisan,1656
19,Republican,821
4,Democrat,1110
6,Democrat,1456
52,Non Partisan,1002
43,Non Partisan,1561
24,Non Partisan,1609
31,Non Partisan,1871
34,Non Partisan,1565
35,Democrat,1753
10,Non Partisan,1750
29,Democrat,1453
32,Democrat,1655
10,Democrat,1628
35,Non Partisan,1796
25,Democrat,1044
45,Non Partisan,1413
21,Democrat,1546
33,Republican,1491
24,Republican,1285
38,Republican,1807
1,Democrat,1059
34,Republican,1370
2,Non Partisan,1317
20,Democrat,1427
20,Non Partisan,1415
44,Non Partisan,1339
36,Non Partisan,1617
46,Non Partisan,1567
48,Non Partisan,1513
27,Republican,992
5,Democrat,1328
38,Non Partisan,2097
25,Republican,907
44,Democrat,1192
2,Democrat,1212
44,Republican,1162
9,Democrat,1681
50,Democrat,1288
1,Non Partisan,1179
4,Republican,940
33,Democrat,1540
50,Republican,1370
48,Republican,1279
53,Non Partisan,398
53,Republican,443
